Year,House,Senate,Congress (Both Chambers),Presidency,President,Average,
1955,Republican,Republican,Republican,Republican,Eisenhower,-0.4,
1956,Republican,Republican,Republican,Republican,Eisenhower,1.5,
1957,Democrat,Democrat,Democrat,Republican,Eisenhower,3.3,
1958,Democrat,Democrat,Democrat,Republican,Eisenhower,2.8,
1959,Democrat,Democrat,Democrat,Republican,Eisenhower,0.7,
1960,Democrat,Democrat,Democrat,Republican,Eisenhower,1.7,
1961,Democrat,Democrat,Democrat,Republican,Eisenhower,1,
1962,Democrat,Democrat,Democrat,Republican,Eisenhower,1,
1963,Democrat,Democrat,Democrat,Democrat,Kennedy,1.3,
1964,Democrat,Democrat,Democrat,Democrat,Kennedy,1.3,
1965,Democrat,Democrat,Democrat,Democrat,Kennedy,1.6,
1966,Democrat,Democrat,Democrat,Democrat,L. Johnson,2.9,
1967,Democrat,Democrat,Democrat,Democrat,L. Johnson,3.1,
1968,Democrat,Democrat,Democrat,Democrat,L. Johnson,4.2,
1969,Democrat,Democrat,Democrat,Democrat,L. Johnson,5.5,
1970,Democrat,Democrat,Democrat,Democrat,L. Johnson,5.7,
1971,Democrat,Democrat,Democrat,Republican,Nixon,4.4,
1972,Democrat,Democrat,Democrat,Republican,Nixon,3.2,
1973,Democrat,Democrat,Democrat,Republican,Nixon,6.2,
1974,Democrat,Democrat,Democrat,Republican,Nixon,11,
1975,Democrat,Democrat,Democrat,Republican,Nixon,9.1,
1976,Democrat,Democrat,Democrat,Republican,Nixon,5.8,
1977,Democrat,Democrat,Democrat,Republican,Ford,6.5,
1978,Democrat,Democrat,Democrat,Republican,Ford,7.6,
1979,Democrat,Democrat,Democrat,Democrat,Carter,11.3,
1980,Democrat,Democrat,Democrat,Democrat,Carter,13.5,
1981,Democrat,Democrat,Democrat,Democrat,Carter,10.3,
1982,Democrat,Democrat,Democrat,Democrat,Carter,6.2,
1983,Democrat,Republican,Split,Republican,Reagan,3.2,
1984,Democrat,Republican,Split,Republican,Reagan,4.3,
1985,Democrat,Republican,Split,Republican,Reagan,3.6,
1986,Democrat,Republican,Split,Republican,Reagan,1.9,
1987,Democrat,Republican,Split,Republican,Reagan,3.6,
1988,Democrat,Republican,Split,Republican,Reagan,4.1,
1989,Democrat,Democrat,Democrat,Republican,Reagan,4.8,
1990,Democrat,Democrat,Democrat,Republican,Reagan,5.4,
1991,Democrat,Democrat,Democrat,Republican,G.H.W. Bush,4.2,
1992,Democrat,Democrat,Democrat,Republican,G.H.W. Bush,3,
1993,Democrat,Democrat,Democrat,Republican,G.H.W. Bush,3,
1994,Democrat,Democrat,Democrat,Republican,G.H.W. Bush,2.6,
1995,Democrat,Democrat,Democrat,Democrat,Clinton,2.8,
1996,Democrat,Democrat,Democrat,Democrat,Clinton,3,
1997,Republican,Republican,Republican,Democrat,Clinton,2.3,
1998,Republican,Republican,Republican,Democrat,Clinton,1.6,
1999,Republican,Republican,Republican,Democrat,Clinton,2.2,
2000,Republican,Republican,Republican,Democrat,Clinton,3.4,
2001,Republican,Republican,Republican,Democrat,Clinton,2.8,
2002,Republican,Republican,Republican,Democrat,Clinton,1.6,
2003,Republican,Split,Split,Republican,G.W. Bush,2.3,
2004,Republican,Split,Split,Republican,G.W. Bush,2.7,
2005,Republican,Republican,Republican,Republican,G.W. Bush,3.4,
2006,Republican,Republican,Republican,Republican,G.W. Bush,3.2,
2007,Republican,Republican,Republican,Republican,G.W. Bush,2.8,
2008,Republican,Republican,Republican,Republican,G.W. Bush,3.8,
2009,Democrat,Democrat,Democrat,Republican,G.W. Bush,-0.4,
2010,Democrat,Democrat,Democrat,Republican,G.W. Bush,1.6,
2011,Democrat,Democrat,Democrat,Democrat,Obama,3.2,
2012,Democrat,Democrat,Democrat,Democrat,Obama,2.1,
2013,Republican,Democrat,Split,Democrat,Obama,1.5,
2014,Republican,Democrat,Split,Democrat,Obama,1.6,
2015,Republican,Democrat,Split,Democrat,Obama,0.1,
2016,Republican,Democrat,Split,Democrat,Obama,1.3,
2017,Republican,Republican,Republican,Democrat,Obama,2.1,
2018,Republican,Republican,Republican,Democrat,Obama,2.4,
2019,Republican,Republican,Republican,Democrat,Trump,1.8,
2020,Republican,Republican,Republican,Democrat,Trump,1.2,
2021,Democrat,Republican,Split,Republican,Trump,4.7,
2022,Democrat,Republican,Split,Republican,Trump,8.3,
,,,,,,,
,,,,,,,
,,,,,,,
